"1","Bali"
"2","Bangka Belitung"
"3","Banten"
"4","Bengkulu"
"5","DI Yogyakarta"
"6","DKI Jakarta"
"7","Gorontalo"
"8","Jambi"
"9","Jawa Barat"
"10","Jawa Tengah"
"11","Jawa Timur"
"12","Kalimantan Barat"
"13","Kalimantan Selatan"
"14","Kalimantan Tengah"
"15","Kalimantan Timur"
"16","Kepulauan Riau"
"17","Lampung"
"18","Maluku"
"19","Maluku Utara"
"20","Nanggroe Aceh Darussalam (NAD)"
"21","Nusa Tenggara Barat (NTB)"
"22","Nusa Tenggara Timur (NTT)"
"23","Papua"
"24","Papua Barat"
"25","Riau"
"26","Sulawesi Barat"
"27","Sulawesi Selatan"
"28","Sulawesi Tengah"
"29","Sulawesi Tenggara"
"30","Sulawesi Utara"
"31","Sumatera Barat"
"32","Sumatera Selatan"
"33","Sumatera Utara"
"34","Kalimantan Utara"
